key;text;Brand;Price;Shipping;Gain;Type;timestamp
144;Energy X Plus 2;BLU;100;0;0,00;MOBILE;AUTO
145;Energy X (Lte);BLU;110;0;0,00;MOBILE;AUTO
146;Energy X2;BLU;88,2;0;0,00;MOBILE;AUTO
147;Energy Diamond Mini;BLU;42;0;50,00;MOBILE;AUTO
148;Energy M;BLU;61;0;0,00;MOBILE;AUTO
149;Energy Diamond;BLU;70;0;90,00;MOBILE;AUTO
150;Diamond M;BLU;57;0;0,00;MOBILE;AUTO
151;Neo Energy Mini;BLU;43;0;55,00;MOBILE;AUTO
152;Gran Mini;BLU;31;0;0,00;MOBILE;AUTO
153;Grand M;BLU;56;0;70,00;MOBILE;AUTO
154;Grand MAX;BLU;74;0;90,00;MOBILE;AUTO
155;Grand X;BLU;60,5;0;75,00;MOBILE;AUTO
156;Grand 5.5 HD;BLU;84;0;0,00;MOBILE;AUTO
157;Jenny II;BLU;11;0;0,00;MOBILE;AUTO
158;Life XL (3G);BLU;93;0;0,00;MOBILE;AUTO
159;Grand XL;BLU;75,5;0;95,00;MOBILE;AUTO
160;Neo X Mini;BLU;44;0;60,00;MOBILE;AUTO
161;Neo X2;BLU;54;0;75,00;MOBILE;AUTO
162;Neo X;BLU;58;0;80,00;MOBILE;AUTO
163;Neo X Lte;BLU;67;0;0,00;MOBILE;AUTO
164;Neo XL;BLU;85;0;0,00;MOBILE;AUTO
165;Neo 5.5;BLU;55;0;0,00;MOBILE;AUTO
166;Neo X Plus;BLU;72,5;0;0,00;MOBILE;AUTO
167;R1 HD 2 Gb;BLU;80;0;105,00;MOBILE;AUTO
168;R1 HD 1 Gb;BLU;70;0;90,00;MOBILE;AUTO
169;R2 2GB;BLU;106;4;130,00;MOBILE;AUTO
170;R2 3GB;BLU;125;4;160,00;MOBILE;AUTO
171;Studio X Mini;BLU;62;0;85,00;MOBILE;AUTO
172;Studio X8 HD;BLU;47,5;0;65,00;MOBILE;AUTO
173;Studio C HD;BLU;72,45;0;0,00;MOBILE;AUTO
174;Studio C 8+8;BLU;78;0;0,00;MOBILE;AUTO
175;Studio C 8+8 LTE;BLU;86;0;0,00;MOBILE;AUTO
176;Studio M Lte;BLU;72,5;0;0,00;MOBILE;AUTO
177;Studio M HD;BLU;72,5;0;0,00;MOBILE;AUTO
178;Studio Touch;BLU;63;0;0,00;MOBILE;AUTO
179;Studio G2;BLU;56;0;75,00;MOBILE;AUTO
180;Studio G HD LTE;BLU;69;0;95,00;MOBILE;AUTO
181;Studio G2 HD;BLU;57;0;80,00;MOBILE;AUTO
182;Studio J5;BLU;69;0;95,00;MOBILE;AUTO
183;Studio One DIGITEL;BLU;109;0;0,00;MOBILE;AUTO
184;Studio One;BLU;114;0;0,00;MOBILE;AUTO
185;Studio Selfie 2;BLU;70;0;0,00;MOBILE;AUTO
186;Studio 5.5 HD;BLU;69,5;0;0,00;MOBILE;AUTO
187;Touchbook G7;BLU;76;0;0,00;MOBILE;AUTO
188;Touchbook M7;BLU;72,5;0;0,00;MOBILE;AUTO
189;TANK II;BLU;14,9;0;20,00;MOBILE;AUTO
190;Vivo 5 mini;BLU;50,5;0;70,00;MOBILE;AUTO
191;Vivo 5;BLU;145;0;190,00;MOBILE;AUTO
192;Vivo 5R (LTE);BLU;189;0;0,00;MOBILE;AUTO
193;Vivo XL;BLU;142;0;0,00;MOBILE;AUTO
194;Vivo XL2;BLU;137;0;180,00;MOBILE;AUTO
195;XTREME 2.4;BLU;22;0;0,00;MOBILE;AUTO
196;XTREME 4.0;BLU;49;0;65,00;MOBILE;AUTO
197;Z3;BLU;10,5;0;0,00;MOBILE;AUTO
198;XTREME 5.0;BLU;84;0;0,00;MOBILE;AUTO
199;Z3M;BLU;10;0;25,00;MOBILE;AUTO
200;Z3 Music;BLU;10;0;20,00;MOBILE;AUTO
201;ZOEY II;BLU;10;0;25,00;MOBILE;AUTO
202;HTC 530;HTC;89;0;120,00;MOBILE;AUTO
203;HTC ONE M9;HTC;161;0;210,00;MOBILE;AUTO
204;HTC 628S DESIRE;HTC;84;4;100,00;MOBILE;AUTO
205;HYUNDAI E465GO;HYUNDAI;35;4;50,00;MOBILE;AUTO
206;HYUNDAI L501;HYUNDAI;54;4;72,00;MOBILE;AUTO
207;HAIER;HYUNDAI;0;0;0,00;MOBILE;AUTO
208;HAIER G11;HYUNDAI;39;0;60,00;MOBILE;AUTO
209;HYUNDAI E500 LTE;HYUNDAI;60;0;80,00;MOBILE;AUTO
210;HYUNDAI E502;HYUNDAI;56;0;75,00;MOBILE;AUTO
211;HYUNDAI D245;HYUNDAI;10;4;18,00;MOBILE;AUTO
212;HYUNDAI ORBIT LTE;HYUNDAI;110;0;145,00;MOBILE;AUTO
213;ZTE FANFARE 2;ZTE;51;0;80,00;MOBILE;AUTO
214;ZTE FANFARE 3;ZTE;51;4;70,00;MOBILE;AUTO
215;ZTE GRAND X4;ZTE;90;4;115,00;MOBILE;AUTO
216;ZTE BLADE;ZTE;49;0;0,00;MOBILE;AUTO
217;ZTE MAVEN 3;ZTE;46;4;65,00;MOBILE;AUTO
218;MOTOROLA;;0;0;0,00;MOBILE;AUTO
219;MOTOROLA E4;MOTOROLA;80;4;100,00;MOBILE;AUTO
220;MOTOROLA X2;MOTOROLA;110;0;150,00;MOBILE;AUTO
221;KYOCERA;MOTOROLA;0;0;0,00;MOBILE;AUTO
222;KYOCERA DURAFORCE;MOTOROLA;72;0;100,00;MOBILE;AUTO
223;KYOCERA HYDRO VIEW;MOTOROLA;50;0;80,00;MOBILE;AUTO
224;MOTOROLA E5 PLAY;MOTOROLA;88;4;110,00;MOBILE;AUTO
225;MOTOROLA E5 PLUS 32GB;MOTOROLA;123;4;155,00;MOBILE;AUTO
226;NOKIA 435;NOKIA;35;4;50,00;MOBILE;AUTO
227;NOKIA  BASICO;NOKIA;9;4;15,00;MOBILE;AUTO
228;REDMI 6A 16GB;XIAOMI;86;4;115,00;MOBILE;AUTO
229;REDMI 6A 32GB;XIAOMI;95;4;125,00;MOBILE;AUTO
230;REDMI 6 32GB;XIAOMI;112;4;145,00;MOBILE;AUTO
231;REDMI 6 64GB;XIAOMI;119;4;155,00;MOBILE;AUTO
232;MI A2 64GB;XIAOMI;189;4;240,00;MOBILE;AUTO
233;MI A2 LITE 64GB;XIAOMI;170;4;210,00;MOBILE;AUTO
234;MI A2 LITE 32GB;XIAOMI;150;4;185,00;MOBILE;AUTO
235;MI 8 LITE 64GB;XIAOMI;208;4;265,00;MOBILE;AUTO
236;NOTE 6 PRO 64GB;XIAOMI;189;4;235,00;MOBILE;AUTO
237;ENERGIZER;KRIP;49;49;60,00;MOBILE;AUTO
238;KRIP K1;KRIP;11;4;15,00;MOBILE;AUTO
239;KRIP K4;KRIP;41;4;50,00;MOBILE;AUTO
240;KRIP K5;KRIP;48;4;60,00;MOBILE;AUTO
241;KRIP K6;KRIP;61;4;75,00;MOBILE;AUTO
242;KRIP K55;KRIP;87;4;108,00;MOBILE;AUTO
243;WAO I324N;OTROS;12;0;20,00;MOBILE;AUTO
244;IPRO I3185;OTROS;12,5;0;20,00;MOBILE;AUTO
245;IPRO I324F;OTROS;13;0;20,00;MOBILE;AUTO
246;LICUIT ACER;OTROS;79;0;105,00;MOBILE;AUTO
247;GREEN PHONE ;OTROS;19;0;25,00;MOBILE;AUTO
248;BITCOM ZENN;OTROS;40;0;55,00;MOBILE;AUTO
249;TABLET GRUM;OTROS;51;10;90,00;MOBILE;AUTO
250;BITCOM PENNY;OTROS;13;3;20,00;MOBILE;AUTO
